                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.90651,                0.46596,                0.92563,                 0.9748,                0.92502,                0.95606,                0.76206,                0.93355,                0.44175,                0.86747,             0.00069335,             0.00069335,             0.00069335
                     55,                0.90639,                0.46661,                0.91962,                0.96891,                0.92329,                0.95586,                0.76026,                0.92239,                0.44117,                0.86457,              0.0006792,              0.0006792,              0.0006792
                     56,                0.89952,                0.46072,                 0.9245,                0.95543,                0.93335,                0.96364,                0.77148,                0.90032,                0.43223,                0.86329,             0.00066506,             0.00066506,             0.00066506
                     57,                0.89775,                0.46246,                  0.926,                0.95419,                0.92471,                0.96678,                 0.7759,                0.95376,                0.44118,                0.86762,             0.00065091,             0.00065091,             0.00065091
                     58,                0.90129,                 0.4647,                0.91857,                0.96842,                 0.9233,                0.95646,                0.77326,                0.94128,                0.42555,                 0.8687,             0.00063676,             0.00063676,             0.00063676
                     59,                0.89595,                0.45713,                0.92203,                0.96246,                0.92522,                0.96479,                0.75034,                 0.9396,                0.43249,                0.86547,             0.00062262,             0.00062262,             0.00062262
                     60,                 0.8852,                0.45329,                0.91703,                0.94592,                 0.9104,                0.96328,                0.74656,                0.91843,                0.42096,                0.86604,             0.00060847,             0.00060847,             0.00060847
                     61,                0.89108,                0.45615,                0.91964,                0.96815,                0.93187,                0.96102,                 0.7733,                0.96116,                 0.4342,                0.86632,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.8666,                0.44886,                 0.9122,                0.97242,                 0.9297,                0.96183,                0.77991,                0.91267,                0.42689,                0.86084,             0.00058017,             0.00058017,             0.00058017
                     63,                0.87005,                0.44842,                0.91532,                0.96992,                0.92972,                0.96042,                0.76341,                0.93674,                0.43146,                0.86907,             0.00056603,             0.00056603,             0.00056603
                     64,                0.86441,                0.44492,                0.91343,                0.96225,                0.93213,                0.96115,                0.77835,                0.92517,                0.42861,                 0.8653,             0.00055188,             0.00055188,             0.00055188
                     65,                0.87624,                0.44737,                0.91848,                0.97513,                0.92022,                0.96366,                0.74815,                 0.9404,                0.42269,                0.86848,             0.00053773,             0.00053773,             0.00053773
                     66,                 0.8649,                0.44261,                0.91447,                0.95844,                0.93314,                0.95713,                0.77738,                 0.9331,                0.42258,                 0.8667,             0.00052359,             0.00052359,             0.00052359
                     67,                0.86199,                0.44373,                0.91233,                0.96694,                0.93697,                0.96146,                0.77634,                 0.9039,                0.41805,                0.85995,             0.00050944,             0.00050944,             0.00050944
