                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.70706,                0.69593,                0.93885,                      1,                  0.706,                0.71738,                0.43495,                 1.6997,                 1.0026,                 1.8455,              0.0007724,              0.0007724,              0.0007724
                     65,                0.79382,                0.71969,                0.95133,                      1,                0.70722,                0.71752,                0.40186,                 1.7504,                 0.9781,                 1.8534,              0.0007526,              0.0007526,              0.0007526
                     66,                0.62988,                0.89636,                0.82761,                      1,                0.70804,                0.71843,                0.37745,                 1.7751,                0.98405,                 1.8666,              0.0007328,              0.0007328,              0.0007328
                     67,                0.96869,                 1.1376,                 1.1446,                 0.9849,                0.57143,                0.65739,                0.40205,                 1.6952,                 1.0488,                 1.8416,               0.000713,               0.000713,               0.000713
                     68,                0.73117,                0.78351,                0.93747,                0.98436,                0.57143,                0.65064,                0.37264,                 1.7702,                 1.0151,                 1.8668,              0.0006932,              0.0006932,              0.0006932
                     69,                0.77948,                0.73616,                 0.9368,                0.98323,                0.57143,                0.61058,                0.34766,                  1.902,                0.92886,                 1.9601,              0.0006734,              0.0006734,              0.0006734
                     70,                0.75895,                0.63716,                0.94083,                0.98111,                0.57143,                0.65714,                0.40657,                 1.9228,                0.96738,                 2.0114,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.6108,                0.93292,                0.80565,                0.98002,                0.57143,                0.67853,                0.37995,                 1.8458,                 1.0301,                   1.92,              0.0006338,              0.0006338,              0.0006338
                     72,                0.72919,                 0.6445,                0.91407,                0.97769,                0.57143,                0.67837,                0.40605,                 1.8836,                 1.1284,                 1.9717,               0.000614,               0.000614,               0.000614
                     73,                0.71554,                0.76688,                0.95792,                0.97563,                0.57143,                0.66588,                0.38079,                 1.8863,                 1.1964,                  1.921,              0.0005942,              0.0005942,              0.0005942
                     74,                0.69309,                0.71735,                0.91167,                0.98013,                0.57143,                0.65733,                0.37547,                 1.8569,                 1.0314,                 1.8927,              0.0005744,              0.0005744,              0.0005744
                     75,                0.63332,                0.60268,                0.89985,                0.98469,                0.57143,                0.64498,                0.39056,                  1.863,                 1.0736,                 1.8571,              0.0005546,              0.0005546,              0.0005546
                     76,                0.75682,                0.67495,                0.92392,                0.98333,                0.57143,                0.64368,                0.39726,                 1.8439,                0.98809,                 1.8385,              0.0005348,              0.0005348,              0.0005348
                     77,                0.65358,                0.58241,                 0.8921,                0.98263,                0.57143,                0.64289,                0.38278,                 1.8691,                 1.0088,                 1.8717,               0.000515,               0.000515,               0.000515
                     78,                0.68878,                0.63922,                0.92286,                0.98322,                0.57143,                0.64866,                0.39806,                  1.978,                 1.2124,                 2.0019,              0.0004952,              0.0004952,              0.0004952
                     79,                0.64467,                0.55693,                0.90254,                0.98335,                0.57143,                0.64842,                0.40488,                 1.8574,                 1.0932,                 1.9663,              0.0004754,              0.0004754,              0.0004754
                     80,                0.69345,                0.68001,                0.92401,                      1,                0.70631,                 0.7184,                0.42801,                 1.7431,                 1.0538,                 1.9031,              0.0004556,              0.0004556,              0.0004556
                     81,                0.63129,                0.65147,                0.91029,                      1,                0.70634,                  0.718,                0.40148,                 1.7284,                 1.0554,                 1.8835,              0.0004358,              0.0004358,              0.0004358
                     82,                0.70183,                0.68832,                0.94048,                      1,                0.70638,                0.71805,                0.39652,                 1.7641,                 1.0863,                 1.9367,               0.000416,               0.000416,               0.000416
                     83,                0.68976,                 0.6089,                0.91684,                      1,                0.70623,                0.71838,                0.40499,                 1.7456,                 1.1038,                 1.8635,              0.0003962,              0.0003962,              0.0003962
                     84,                0.52315,                0.65208,                0.77527,                      1,                0.70608,                0.71908,                0.41626,                 1.7967,                 1.1642,                 1.8393,              0.0003764,              0.0003764,              0.0003764
                     85,                0.64726,                0.60242,                0.93059,                      1,                 0.7059,                0.72248,                0.41822,                 1.7717,                 1.1708,                 1.7152,              0.0003566,              0.0003566,              0.0003566
                     86,                0.66316,                0.62611,                0.93051,                0.98755,                0.57143,                0.70243,                0.41519,                 1.7416,                 1.0429,                 1.6504,              0.0003368,              0.0003368,              0.0003368
                     87,                0.84225,                 1.0261,                 1.0336,                      1,                0.70654,                0.72487,                0.41907,                 1.7928,                 1.0223,                 1.7105,               0.000317,               0.000317,               0.000317
                     88,                0.71098,                0.72405,                0.96846,                      1,                0.70971,                0.72203,                0.40349,                 1.7214,                0.93707,                 1.7111,              0.0002972,              0.0002972,              0.0002972
                     89,                0.59944,                0.53468,                0.89394,                      1,                0.70354,                0.71913,                0.39959,                 1.6832,                0.95042,                  1.737,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.6198,                0.56438,                0.90749,                      1,                 0.7013,                0.71886,                  0.401,                 1.6895,                0.97482,                 1.7833,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.5814,                0.56468,                0.89634,                      1,                0.69803,                0.71886,                0.38345,                 1.8084,                 1.0488,                 1.9194,              0.0002378,              0.0002378,              0.0002378
                     92,                0.56238,                0.54556,                0.89792,                      1,                0.69525,                0.71941,                 0.3988,                 1.8194,                 1.0836,                 1.8691,               0.000218,               0.000218,               0.000218
                     93,                0.45455,                0.66247,                0.76859,                      1,                0.69724,                0.71961,                0.41522,                 1.8036,                 1.1027,                 1.8428,              0.0001982,              0.0001982,              0.0001982
                     94,                0.54105,                0.53095,                0.88061,                      1,                0.69897,                 0.7199,                0.41547,                 1.7491,                 1.0725,                 1.7806,              0.0001784,              0.0001784,              0.0001784
                     95,                0.51143,                 1.1562,                 0.7838,                      1,                0.69895,                0.72118,                0.41657,                 1.7086,                 1.0293,                 1.7358,              0.0001586,              0.0001586,              0.0001586
                     96,                0.56779,                0.52631,                  0.932,                      1,                0.69847,                0.72248,                 0.4327,                 1.6517,                0.97786,                 1.6828,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.5673,                0.55628,                0.89736,                      1,                0.69865,                0.72336,                0.42888,                 1.6134,                0.91146,                 1.6364,               0.000119,               0.000119,               0.000119
                     98,                0.40152,                  1.173,                0.66289,                      1,                0.69987,                0.72399,                0.43415,                 1.6491,                 1.0018,                 1.6793,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.54193,                0.51831,                0.85869,                      1,                0.70068,                0.72515,                0.43527,                 1.6253,                0.93514,                 1.6453,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.31448,                 1.7358,                0.56127,                      1,                0.70134,                 0.7256,                0.42782,                 1.6258,                0.90496,                 1.6222,               5.96e-05,               5.96e-05,               5.96e-05
