                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.95916,                 0.5821,                 1.0283,                0.77154,                0.52044,                0.61177,                 0.4374,                0.61116,                0.42596,                0.92754,               0.004852,               0.004852,               0.004852
                     55,                0.94857,                 0.5794,                 1.0295,                0.73943,                0.54831,                0.65818,                0.45559,                0.60185,                0.43635,                0.91759,               0.004753,               0.004753,               0.004753
                     56,                0.94285,                 0.5716,                 1.0211,                0.81292,                0.51708,                0.60357,                0.43024,                0.60298,                0.42795,                0.92338,               0.004654,               0.004654,               0.004654
                     57,                0.95386,                0.57647,                 1.0252,                0.78874,                0.50413,                0.57402,                0.41491,                 0.6027,                0.43063,                 0.9185,               0.004555,               0.004555,               0.004555
                     58,                0.94556,                0.57375,                 1.0252,                 0.8039,                0.51706,                0.62234,                0.45197,                0.60242,                 0.4291,                0.91824,               0.004456,               0.004456,               0.004456
                     59,                0.94118,                0.56966,                 1.0209,                0.74215,                0.53247,                0.62199,                0.45168,                0.59891,                 0.4272,                0.90897,               0.004357,               0.004357,               0.004357
                     60,                0.93786,                 0.5663,                 1.0214,                0.78334,                0.50391,                0.63386,                0.44247,                0.60209,                0.42623,                0.91566,               0.004258,               0.004258,               0.004258
                     61,                 0.9458,                0.56503,                 1.0202,                0.79808,                0.53075,                0.66429,                0.46676,                0.60626,                0.42568,                 0.9155,               0.004159,               0.004159,               0.004159
                     62,                0.93218,                 0.5628,                 1.0165,                0.79317,                0.52809,                0.64073,                0.47788,                0.59979,                0.42436,                0.91412,                0.00406,                0.00406,                0.00406
                     63,                0.92317,                0.55168,                 1.0151,                0.79771,                0.53045,                 0.6414,                0.44366,                0.59681,                0.42795,                0.90957,               0.003961,               0.003961,               0.003961
                     64,                0.91918,                0.55275,                  1.011,                0.76008,                0.53723,                0.60257,                0.42036,                0.60766,                0.42955,                 0.9188,               0.003862,               0.003862,               0.003862
                     65,                 0.9132,                0.55134,                 1.0071,                0.79257,                0.53397,                0.64259,                0.44262,                0.59926,                0.42507,                0.91706,               0.003763,               0.003763,               0.003763
                     66,                0.90536,                0.54668,                 1.0062,                 0.5487,                 0.6591,                0.62859,                0.46045,                0.59227,                  0.424,                0.90971,               0.003664,               0.003664,               0.003664
                     67,                0.90483,                 0.5407,                 1.0061,                0.76257,                0.55941,                0.65419,                0.46123,                0.58734,                0.41482,                0.90422,               0.003565,               0.003565,               0.003565
                     68,                 0.9025,                0.53893,                 1.0043,                0.74548,                0.56036,                0.63903,                0.44983,                0.58707,                0.41646,                0.90256,               0.003466,               0.003466,               0.003466
                     69,                 0.9023,                0.53501,                 1.0053,                0.69352,                0.56266,                 0.6036,                 0.4314,                0.58472,                0.41722,                0.90255,               0.003367,               0.003367,               0.003367
                     70,                0.89189,                0.53418,                 1.0008,                0.80867,                0.53014,                0.64616,                0.45606,                0.58375,                0.41773,                0.90251,               0.003268,               0.003268,               0.003268
                     71,                0.89753,                0.53877,                 1.0056,                0.78667,                0.50371,                0.63115,                0.44461,                0.58144,                0.41384,                0.90515,               0.003169,               0.003169,               0.003169
                     72,                0.89677,                0.52503,                0.99765,                0.65928,                0.56254,                0.63905,                0.45364,                0.58217,                0.41386,                 0.9046,                0.00307,                0.00307,                0.00307
                     73,                0.89438,                0.53032,                 1.0028,                0.79891,                0.50335,                 0.5893,                0.42923,                 0.5846,                0.41017,                0.90912,               0.002971,               0.002971,               0.002971
                     74,                0.88726,                0.52398,                0.99926,                0.77395,                0.50804,                0.57954,                0.42473,                0.58738,                0.40645,                0.90819,               0.002872,               0.002872,               0.002872
                     75,                0.88454,                0.51929,                0.99782,                0.75285,                0.50905,                 0.6234,                0.45058,                0.58513,                0.40722,                0.90578,               0.002773,               0.002773,               0.002773
                     76,                0.87307,                0.51141,                0.99444,                0.75681,                0.50885,                0.58218,                0.44341,                0.57921,                0.41129,                0.90288,               0.002674,               0.002674,               0.002674
                     77,                0.88228,                0.51925,                0.99293,                0.69971,                0.53679,                0.58041,                0.43952,                0.57549,                0.41526,                0.90461,               0.002575,               0.002575,               0.002575
                     78,                0.86299,                0.50374,                0.98872,                0.68866,                0.53696,                  0.558,                0.42951,                 0.5749,                0.41748,                0.90184,               0.002476,               0.002476,               0.002476
                     79,                0.87667,                 0.5124,                0.99342,                0.76942,                0.50783,                0.56374,                0.42082,                0.57442,                0.41485,                0.90004,               0.002377,               0.002377,               0.002377
                     80,                0.86919,                0.50777,                0.98827,                0.70578,                0.53573,                0.57961,                0.42971,                0.57546,                0.41279,                0.89972,               0.002278,               0.002278,               0.002278
                     81,                0.86555,                0.50345,                0.98682,                0.70948,                 0.5352,                0.56683,                0.42702,                0.57562,                0.41123,                0.90097,               0.002179,               0.002179,               0.002179
                     82,                0.85856,                0.49788,                0.98764,                0.70936,                0.53609,                0.57762,                0.43106,                0.57789,                  0.408,                0.90598,                0.00208,                0.00208,                0.00208
